,Date,CPI
2,2013Q1,232.773
5,2013Q2,233.504
8,2013Q3,234.149
11,2013Q4,233.049
14,2014Q1,236.293
17,2014Q2,238.343
20,2014Q3,238.031
23,2014Q4,234.812
26,2015Q1,236.119
29,2015Q2,238.638
32,2015Q3,237.945
35,2015Q4,236.525
38,2016Q1,238.132
41,2016Q2,241.018
44,2016Q3,241.428
47,2016Q4,241.432
50,2017Q1,243.801
53,2017Q2,244.955
56,2017Q3,246.819
59,2017Q4,246.524
62,2018Q1,249.554
65,2018Q2,251.989
68,2018Q3,252.439
71,2018Q4,251.233
74,2019Q1,254.202
77,2019Q2,256.143
80,2019Q3,256.759
83,2019Q4,256.974
86,2020Q1,258.115
89,2020Q2,257.797
92,2020Q3,260.28
95,2020Q4,260.474
98,2021Q1,264.877
101,2021Q2,271.696
104,2021Q3,274.31
107,2021Q4,278.802
110,2022Q1,287.504
